"id","stn"
7994,"BID-01"
5060,"BID-01"
2500,"BID-01"
2499,"BID-01"
11560,"BID-01"
2490,"BID-01"
5048,"BID-01"
2088,"BID-04"
12773,"BID-04"
12774,"BID-04"
8561,"BID-05"
3033,"BID-05"
3042,"BID-05"
8554,"BID-05"
7404,"BID-07"
2057,"BID-07"
4591,"BID-07"
4588,"BID-07"
8184,"CAM-02"
8201,"CAM-02"
8207,"CAM-02"
8221,"CAM-02"
8187,"CAM-02"
8215,"CAM-02"
5209,"CAM-02"
5215,"CAM-02"
5217,"CAM-02"
5218,"CAM-02"
5219,"CAM-02"
2655,"CAM-02"
2653,"CAM-02"
2663,"CAM-02"
2665,"CAM-02"
11733,"CAM-02"
11738,"CAM-02"
11744,"CAM-02"
11722,"CAM-02"
8193,"CAM-02"
5193,"CAM-02"
5195,"CAM-02"
5202,"CAM-02"
2632,"CAM-02"
2633,"CAM-02"
2604,"CAM-02"
2646,"CAM-02"
2640,"CAM-02"
2642,"CAM-02"
2648,"CAM-02"
672,"CAM-02"
685,"CAM-02"
688,"CAM-02"
11730,"CAM-02"
11746,"CAM-02"
11749,"CAM-02"
8052,"CBSP-01"
8064,"CBSP-01"
5120,"CBSP-01"
2558,"CBSP-01"
8058,"CBSP-01"
8084,"CBSP-01"
2551,"CBSP-01"
11489,"CBSP-01"
1648,"CBSP-03"
1651,"CBSP-03"
1656,"CBSP-03"
1659,"CBSP-03"
6919,"CBSP-03"
1643,"CBSP-03"
13325,"CBSP-03"
12535,"CBSP-03"
6865,"COLONY-1"
4173,"COLONY-1"
1620,"COLONY-1"
12309,"COLONY-1"
12370,"COLONY-1"
6869,"COLONY-1"
4150,"COLONY-1"
13097,"COLONY-1"
99,"COLONY-1"
28,"COLONY-1"
12380,"COLONY-1"
12366,"COLONY-1"
7042,"EEB-01"
7131,"EEB-01"
7132,"EEB-01"
7125,"EEB-01"
7179,"EEB-01"
7118,"EEB-01"
13154,"EEB-01"
4455,"EEB-01"
4444,"EEB-01"
4451,"EEB-01"
4458,"EEB-01"
1848,"EEB-01"
1869,"EEB-01"
1870,"EEB-01"
12659,"EEB-01"
7046,"EEB-01"
7170,"EEB-01"
1815,"EEB-01"
215,"EEB-01"
7240,"FBSP-03"
7232,"FBSP-03"
1899,"FBSP-03"
7216,"FBSP-03"
250,"FBSP-03"
42,"FBSP-03"
13163,"FERRY-1"
7292,"FERRY-1"
4520,"FERRY-1"
4494,"FERRY-1"
4537,"FERRY-1"
1911,"FERRY-1"
1933,"FERRY-1"
1935,"FERRY-1"
12574,"FERRY-1"
13478,"FERRY-1"
1921,"FERRY-1"
13107,"FERRY-1"
12607,"FERRY-1"
4737,"GB-1"
4730,"GB-1"
4751,"GB-1"
4747,"GB-1"
4749,"GB-1"
2177,"GB-1"
2189,"GB-1"
2185,"GB-1"
2188,"GB-1"
2191,"GB-1"
401,"GB-1"
402,"GB-1"
405,"GB-1"
390,"GB-1"
394,"GB-1"
397,"GB-1"
11176,"GB-1"
11180,"GB-1"
11192,"GB-1"
4755,"GB-1"
4758,"GB-1"
4761,"GB-1"
4762,"GB-1"
4764,"GB-1"
4768,"GB-1"
4743,"GB-1"
2194,"GB-1"
2195,"GB-1"
2202,"GB-1"
2199,"GB-1"
2200,"GB-1"
2206,"GB-1"
2209,"GB-1"
2211,"GB-1"
2174,"GB-1"
2213,"GB-1"
11194,"GB-1"
11216,"GB-1"
11188,"GB-1"
7634,"GR-1"
7628,"GR-1"
7600,"GR-1"
7632,"GR-1"
7599,"GR-1"
4784,"GR-1"
4790,"GR-1"
4791,"GR-1"
2240,"GR-1"
2238,"GR-1"
2244,"GR-1"
2249,"GR-1"
11220,"GR-1"
11248,"GR-1"
11244,"GR-1"
7623,"GR-1"
7644,"GR-1"
4780,"GR-1"
4775,"GR-1"
2228,"GR-1"
2232,"GR-1"
440,"GR-1"
443,"GR-1"
13100,"GR-1"
449,"GR-1"
452,"GR-1"
456,"GR-1"
458,"GR-1"
461,"GR-1"
11256,"GR-1"
11231,"GR-1"
11240,"GR-1"
11227,"GR-1"
7556,"GR-2"
7672,"GR-2"
7584,"GR-2"
4825,"GR-2"
4824,"GR-2"
4831,"GR-2"
2270,"GR-2"
7679,"GR-2"
4805,"GR-2"
4816,"GR-2"
475,"GR-2"
411,"GR-2"
7729,"GR-5"
7715,"GR-5"
7724,"GR-5"
7732,"GR-5"
7741,"GR-5"
4855,"GR-5"
4861,"GR-5"
4862,"GR-5"
4868,"GR-5"
2305,"GR-5"
2303,"GR-5"
2310,"GR-5"
2313,"GR-5"
11419,"GR-5"
11420,"GR-5"
11417,"GR-5"
7719,"GR-5"
7739,"GR-5"
7736,"GR-5"
4844,"GR-5"
4839,"GR-5"
2291,"GR-5"
2284,"GR-5"
2282,"GR-5"
481,"GR-5"
414,"GR-5"
13099,"GR-5"
420,"GR-5"
482,"GR-5"
489,"GR-5"
492,"GR-5"
11222,"GR-5"
11407,"GR-5"
11396,"GR-5"
7895,"HIG-1"
7909,"HIG-1"
2392,"HIG-1"
2409,"HIG-1"
7905,"HIG-1"
7921,"HIG-1"
4887,"HIG-1"
2371,"HIG-1"
2382,"HIG-1"
531,"HIG-1"
534,"HIG-1"
11377,"HIG-1"
11372,"HIG-1"
11370,"HIG-1"
7950,"HIG-2"
7964,"HIG-2"
2431,"HIG-2"
5001,"HIG-2"
4996,"HIG-2"
2424,"HIG-2"
546,"HIG-2"
545,"HIG-2"
547,"HIG-2"
11559,"HIG-2"
2462,"HIG-3"
2323,"HIG-3"
2465,"HIG-3"
565,"HIG-3"
562,"HIG-3"
11571,"HIG-3"
11586,"HIG-3"
9529,"K-1"
6259,"K-1"
3725,"K-1"
6232,"K-1"
6240,"K-1"
6236,"K-1"
6237,"K-1"
13399,"K-1"
6929,"K-2"
1688,"K-2"
1690,"K-2"
1693,"K-2"
12519,"K-2"
1661,"K-2"
1676,"K-2"
1673,"K-2"
13330,"K-2"
10071,"K-3"
10008,"K-4"
10033,"K-4"
10830,"K-4"
10634,"K-4"
1939,"K-4"
12811,"K-4"
1996,"K-5"
7481,"KBK-01"
7486,"KBK-01"
7499,"KBK-01"
7433,"KBK-01"
7459,"KBK-01"
2122,"KBK-01"
2120,"KBK-01"
2128,"KBK-01"
2130,"KBK-01"
12771,"KBK-01"
7510,"KBK-01"
4667,"KBK-01"
4671,"KBK-01"
4674,"KBK-01"
4678,"KBK-01"
4660,"KBK-01"
4661,"KBK-01"
2106,"KBK-01"
2117,"KBK-01"
2114,"KBK-01"
2119,"KBK-01"
345,"KBK-01"
351,"KBK-01"
356,"KBK-01"
11264,"KBK-01"
360,"KBK-01"
7531,"KBK-02"
7533,"KBK-02"
7551,"KBK-02"
4719,"KBK-02"
4720,"KBK-02"
4723,"KBK-02"
4724,"KBK-02"
4728,"KBK-02"
2160,"KBK-02"
2158,"KBK-02"
11295,"KBK-02"
11290,"KBK-02"
11289,"KBK-02"
11300,"KBK-02"
11297,"KBK-02"
7525,"KBK-02"
7539,"KBK-02"
7544,"KBK-02"
7576,"KBK-02"
4700,"KBK-02"
4703,"KBK-02"
4709,"KBK-02"
2150,"KBK-02"
2144,"KBK-02"
2138,"KBK-02"
2140,"KBK-02"
2146,"KBK-02"
366,"KBK-02"
369,"KBK-02"
368,"KBK-02"
375,"KBK-02"
386,"KBK-02"
11282,"KBK-02"
11312,"KBK-02"
11309,"KBK-02"
13217,"KBK-02"
11322,"KBK-02"
11316,"KBK-02"
5590,"KBK-04"
3142,"KBK-04"
11943,"KBK-04"
11946,"KBK-04"
11929,"KBK-04"
5567,"KBK-04"
5574,"KBK-04"
5560,"KBK-04"
3131,"KBK-04"
965,"KBK-04"
966,"KBK-04"
972,"KBK-04"
979,"KBK-04"
12123,"KBK-04"
12119,"KBK-04"
8242,"LDHLM-1"
8249,"LDHLM-1"
8267,"LDHLM-1"
8270,"LDHLM-1"
8255,"LDHLM-1"
5248,"LDHLM-1"
2697,"LDHLM-1"
2695,"LDHLM-1"
8238,"LDHLM-1"
8261,"LDHLM-1"
5236,"LDHLM-1"
5239,"LDHLM-1"
13486,"LDHLM-1"
696,"LDHLM-1"
699,"LDHLM-1"
706,"LDHLM-1"
8311,"LDHLM-2"
8274,"LDHLM-2"
8314,"LDHLM-2"
8299,"LDHLM-2"
2718,"LDHLM-2"
2716,"LDHLM-2"
8282,"LDHLM-2"
8305,"LDHLM-2"
720,"LDHLM-2"
709,"LDHLM-2"
8392,"LIN-3"
8383,"LIN-3"
8386,"LIN-3"
5308,"LIN-3"
5307,"LIN-3"
5312,"LIN-3"
5313,"LIN-3"
5319,"LIN-3"
5323,"LIN-3"
5324,"LIN-3"
2753,"LIN-3"
2754,"LIN-3"
2729,"LIN-3"
11630,"LIN-3"
11609,"LIN-3"
8396,"LIN-3"
2748,"LIN-3"
2744,"LIN-3"
2745,"LIN-3"
606,"LIN-3"
736,"LIN-3"
11651,"LIN-3"
11642,"LIN-3"
11641,"LIN-3"
3558,"MDI-02"
3563,"MDI-02"
12952,"MDI-02"
3731,"MDI-02"
3744,"MDI-02"
1311,"MDI-02"
6357,"MDI-04"
6334,"MDI-04"
3733,"MDI-04"
13153,"MDI-04"
6348,"MDI-04"
3818,"MDI-04"
1341,"MDI-04"
9639,"MDI-05"
6389,"MDI-05"
3762,"MDI-05"
3858,"MDI-05"
11022,"MDI-05"
6375,"MDI-05"
6376,"MDI-05"
6378,"MDI-05"
3845,"MDI-05"
5087,"MDI-06"
5095,"MDI-06"
2521,"MDI-06"
2533,"MDI-06"
2537,"MDI-06"
2542,"MDI-06"
11403,"MDI-06"
11400,"MDI-06"
2512,"MDI-06"
2495,"MDI-06"
437,"MDI-06"
4923,"MDI-09"
4913,"MDI-09"
2358,"MDI-09"
11351,"MDI-09"
11354,"MDI-09"
2334,"MDI-09"
506,"MDI-09"
8658,"OG-01"
8715,"OG-01"
5518,"OG-01"
5554,"OG-01"
7352,"OG-02"
4574,"OG-02"
7357,"OG-02"
7358,"OG-02"
1942,"OG-02"
8494,"OG-03"
8502,"OG-03"
8503,"OG-03"
3005,"OG-03"
13490,"OG-03"
13289,"OG-03"
12006,"OG-03"
8482,"OG-03"
8486,"OG-03"
5381,"OG-03"
5363,"OG-03"
2995,"OG-03"
9315,"OG-04"
9246,"OG-04"
9247,"OG-04"
9299,"OG-04"
9251,"OG-04"
9329,"OG-04"
9313,"OG-04"
6067,"OG-04"
6070,"OG-04"
6073,"OG-04"
3538,"OG-04"
3534,"OG-04"
3536,"OG-04"
13493,"OG-04"
13397,"OG-04"
12948,"OG-04"
12940,"OG-04"
9320,"OG-04"
13491,"OG-04"
9338,"OG-04"
9323,"OG-04"
9335,"OG-04"
6051,"OG-04"
6052,"OG-04"
6044,"OG-04"
6057,"OG-04"
6058,"OG-04"
6061,"OG-04"
3511,"OG-04"
3523,"OG-04"
3520,"OG-04"
3526,"OG-04"
12938,"OG-04"
12942,"OG-04"
8442,"OG-05"
8443,"OG-05"
5353,"OG-05"
5359,"OG-05"
5360,"OG-05"
5370,"OG-05"
2792,"OG-05"
13495,"OG-05"
13248,"OG-05"
8469,"OG-05"
8466,"OG-05"
2785,"OG-05"
2782,"OG-05"
11623,"OG-05"
11614,"OG-05"
11615,"OG-05"
3250,"OOB-1"
5712,"OOB-1"
1036,"OOB-1"
8805,"OOB-3"
3178,"OOB-3"
12112,"OOB-3"
5606,"OOB-3"
903,"OOB-3"
911,"OOB-3"
13505,"OOB-4"
8844,"OOB-4"
3192,"OOB-4"
3195,"OOB-4"
5637,"OOB-4"
998,"OOB-4"
12134,"OOB-4"
3228,"OOB-5"
11923,"OOB-5"
1021,"OOB-5"
5674,"OOB-5"
5759,"OOB-7"
3287,"OOB-7"
5739,"OOB-7"
1050,"OOB-7"
9004,"OOB-8"
5785,"OOB-8"
5793,"OOB-8"
3312,"OOB-8"
3310,"OOB-8"
12249,"OOB-8"
12254,"OOB-8"
8850,"OOB-8"
8980,"OOB-8"
5768,"OOB-8"
5763,"OOB-8"
1073,"OOB-8"
1076,"OOB-8"
1077,"OOB-8"
1081,"OOB-8"
1084,"OOB-8"
1088,"OOB-8"
1090,"OOB-8"
12234,"OOB-8"
3332,"PEM-02"
12290,"PEM-02"
12155,"PEM-02"
12301,"PEM-02"
13170,"PP-1"
9047,"PP-1"
13172,"PP-1"
9062,"PP-1"
9075,"PP-1"
5834,"PP-1"
3356,"PP-1"
13322,"PP-1"
13321,"PP-1"
3411,"PSP-01"
5900,"PSP-01"
5949,"PSP-02"
3439,"PSP-02"
13177,"PSP-02"
9196,"PSP-02"
5937,"PSP-02"
13173,"PSP-03"
9113,"PSP-03"
5865,"PSP-03"
3382,"PSP-03"
13174,"PSP-03"
5848,"PSP-03"
3371,"PSP-03"
5974,"PSP-04"
5879,"PSP-04"
5965,"PSP-04"
9280,"PSP-05"
5984,"PSP-05"
1183,"PSP-05"
9291,"PSP-06"
5888,"RKLD-2"
3598,"RKLD-2"
3608,"RKLD-2"
1237,"RKLD-2"
12889,"RKLD-2"
5895,"RKLD-2"
6126,"RKLD-2"
3615,"RKLD-2"
3613,"RKLD-2"
8152,"RSP-03"
5181,"RSP-03"
5186,"RSP-03"
8132,"RSP-03"
2616,"RSP-03"
8611,"RSP-04"
5455,"RSP-05"
8105,"SACO-01"
2593,"SACO-01"
2591,"SACO-01"
13131,"SACO-01"
8119,"SACO-01"
8130,"SACO-01"
2582,"SACO-01"
2579,"SACO-01"
650,"SACO-01"
652,"SACO-01"
655,"SACO-01"
577,"SACO-01"
11413,"SACO-01"
11472,"SACO-01"
6715,"SACO-02"
6705,"SACO-02"
1532,"SACO-02"
12402,"SACO-02"
6686,"SACO-02"
4049,"SACO-02"
19,"SACO-02"
6,"SACO-02"
12857,"SB-2"
9435,"SBSP-1"
9474,"SBSP-2"
9509,"SBSP-3"
6221,"SBSP-3"
6218,"SBSP-3"
4326,"W-02"
12477,"W-02"
7004,"W-02"
4306,"W-02"
164,"W-02"
155,"W-02"
12489,"W-02"
7096,"W-03"
189,"W-03"
198,"W-03"
9746,"W-04"
13550,"W-04"
9857,"W-04"
9835,"W-04"
6532,"W-04"
11142,"W-04"
11140,"W-04"
11147,"W-04"
9852,"W-04"
9856,"W-04"
9854,"W-04"
6526,"W-04"
3963,"W-04"
3969,"W-04"
3958,"W-04"
3971,"W-04"
1437,"W-04"
1439,"W-04"
1441,"W-04"
1445,"W-04"
1446,"W-04"
1411,"W-04"
3892,"W-06"
10950,"W-06"
10957,"W-06"
11057,"W-06"
3910,"W-07"
3914,"W-07"
11032,"W-07"
10894,"W-07"
3944,"W-08"
6487,"W-08"
6498,"W-08"
3934,"W-08"
1429,"W-08"
10926,"W-08"
10916,"W-08"
4141,"W-10"
4138,"W-10"
4147,"W-10"
1590,"W-10"
1588,"W-10"
4114,"W-10"
4116,"W-10"
4113,"W-10"
4122,"W-10"
4126,"W-10"
81,"W-10"
80,"W-10"
87,"W-10"
4276,"W-11"
4275,"W-11"
4241,"W-11"
6974,"W-11"
4265,"W-11"
4291,"W-11"
4292,"W-11"
1711,"W-11"
1713,"W-11"
1716,"W-11"
1719,"W-11"
9866,"WIL-02"
9894,"WIL-02"
9920,"WIL-02"
9875,"WIL-02"
9881,"WIL-02"
9916,"WIL-02"
13155,"WIL-02"
6598,"WIL-02"
6600,"WIL-02"
6606,"WIL-02"
6590,"WIL-02"
1456,"WIL-02"
1463,"WIL-02"
11084,"WIL-02"
11087,"WIL-02"
11086,"WIL-02"
11067,"WIL-02"
9890,"WIL-02"
6560,"WIL-02"
6565,"WIL-02"
6554,"WIL-02"
6574,"WIL-02"
10972,"WIL-02"
6623,"WP-1"
6618,"WP-1"
3999,"WP-1"
6761,"YK-02"
6763,"YK-02"
13115,"YK-02"
4109,"YK-02"
1557,"YK-02"
1566,"YK-02"
1568,"YK-02"
12432,"YK-02"
6756,"YK-02"
6733,"YK-02"
6745,"YK-02"
4076,"YK-02"
4087,"YK-02"
4079,"YK-02"
4082,"YK-02"
4089,"YK-02"
1541,"YK-02"
1537,"YK-02"
1547,"YK-02"
1545,"YK-02"
47,"YK-02"
51,"YK-02"
57,"YK-02"
58,"YK-02"
12440,"YK-02"
12421,"YK-02"
12426,"YK-02"
9567,"YK-04"
9569,"YK-04"
13118,"YK-04"
6274,"YK-04"
6327,"YK-04"
6328,"YK-04"
3781,"YK-04"
3788,"YK-04"
3789,"YK-04"
3794,"YK-04"
3797,"YK-04"
13007,"YK-04"
6280,"YK-04"
6297,"YK-04"
3753,"YK-04"
3765,"YK-04"
3755,"YK-04"
1330,"YK-04"
1334,"YK-04"
1314,"YK-04"
1315,"YK-04"
1317,"YK-04"
13020,"YK-04"
10487,"YK-06"
10693,"YK-06"
13124,"YK-06"
10172,"YK-06"
10177,"YK-06"
2830,"YK-06"
2823,"YK-06"
13259,"YK-06"
10134,"YK-06"
2810,"YK-06"
742,"YK-06"
13260,"YK-06"
11700,"YK-06"
11845,"YK-06"
13125,"YK-08"
10220,"YK-08"
2850,"YK-08"
11879,"YK-08"
11866,"YK-08"
11868,"YK-08"
10199,"YK-08"
10203,"YK-08"
2838,"YK-08"
2834,"YK-08"
2835,"YK-08"
770,"YK-08"
772,"YK-08"
774,"YK-08"
11865,"YK-08"
11862,"YK-08"
13126,"YK-10"
10267,"YK-10"
10272,"YK-10"
2868,"YK-10"
2874,"YK-10"
11788,"YK-10"
10515,"YK-10"
10717,"YK-10"
10259,"YK-10"
2859,"YK-10"
2864,"YK-10"
2865,"YK-10"
798,"YK-10"
800,"YK-10"
11769,"YK-10"
10290,"YK-11"
13127,"YK-11"
10305,"YK-11"
2892,"YK-11"
2898,"YK-11"
11760,"YK-11"
11761,"YK-11"
10289,"YK-11"
10294,"YK-11"
2882,"YK-11"
2887,"YK-11"
822,"YK-11"
13128,"YK-13"
10143,"YK-13"
2923,"YK-13"
11825,"YK-13"
11827,"YK-13"
11972,"YK-13"
10768,"YK-13"
10361,"YK-16"
13129,"YK-16"
10376,"YK-16"
2945,"YK-16"
2771,"YK-16"
10585,"YK-18"
13130,"YK-18"
10416,"YK-18"
10417,"YK-18"
10420,"YK-18"
10814,"YK-18"
2960,"YK-18"
2965,"YK-18"
872,"YK-18"
13119,"YK-20"
6666,"YK-20"
4021,"YK-20"
11109,"YK-20"
6638,"YK-20"
6641,"YK-20"
6639,"YK-20"
6647,"YK-20"
6651,"YK-20"
4014,"YK-20"
1505,"YK-20"
11112,"YK-20"
11191,"GB-1"
6254,"K-1"
6260,"K-1"
7280,"FERRY-1"
3849,"MDI-05"
7338,"OG-02"
2993,"OG-03"
3518,"OG-04"
2780,"OG-05"
8094,"SACO-01"
3801,"MDI-04"
